YEAR         drought
1531         0.254
1532        -1.398
1533        -2.161
1534        -1.303
1535         0.321
1536         -2.83
1537        -2.066
1538        -0.015
1539         0.796
1540         1.941
1541         2.182
1542         1.707
1543        -1.011
1544        -4.258
1545        -2.435
1546         0.599
1547         1.266
1548        -0.016
1549        -1.769
1550        -2.468
1551        -1.357
1552         -0.95
1553        -0.516
1554          -0.3
1555        -1.209
1556        -1.578
1557        -2.475
1558         -1.64
1559        -1.074
1560        -1.011
1561        -0.951
1562        -1.657
1563        -0.878
1564        -1.551
1565        -0.701
1566        -0.452
1567        -0.942
1568        -2.389
1569        -2.303
1570        -3.035
1571        -4.053
1572        -4.743
1573        -3.852
1574        -1.682
1575        -1.563
1576        -0.679
1577        -0.821
1578         0.779
1579         1.197
1580         3.567
1581         3.071
1582        -0.022
1583        -0.058
1584         2.284
1585         1.408
1586        -0.736
1587        -0.405
1588          0.47
1589        -0.776
1590        -0.532
1591        -1.521
1592        -1.914
1593         0.835
1594         1.155
1595        -1.213
1596        -3.038
1597        -2.816
1598        -1.834
1599        -0.483
1600        -0.081
1601        -0.211
1602         0.647
1603        -1.787
1604        -1.018
1605         1.171
1606         1.745
1607        -0.356
1608        -2.364
1609        -0.337
1610         2.242
1611         1.494
1612         0.554
1613         0.448
1614        -0.156
1615         0.875
1616         1.074
1617         1.693
1618         1.027
1619        -0.318
1620        -1.172
1621         0.714
1622         1.548
1623         1.425
1624         -0.48
1625        -1.473
1626        -1.659
1627        -3.475
1628        -0.635
1629         0.758
1630        -0.871
1631        -1.602
1632         -1.55
1633        -2.025
1634         -4.32
1635        -5.594
1636        -1.796
1637         0.403
1638        -0.969
1639        -2.855
1640        -0.519
1641         1.118
1642         0.299
1643         0.736
1644        -0.494
1645        -1.845
1646        -0.244
1647        -0.649
1648        -2.213
1649        -3.579
1650        -3.371
1651        -1.261
1652        -0.129
1653         0.007
1654         0.758
1655         1.761
1656         0.959
1657         0.312
1658         2.631
1659         0.721
1660        -0.324
1661        -1.348
1662        -1.664
1663        -2.007
1664        -3.597
1665        -4.581
1666        -3.954
1667        -1.819
1668         0.317
1669         0.779
1670        -0.704
1671        -1.077
1672         0.765
1673         2.523
1674         1.445
1675         0.981
1676         0.622
1677         1.964
1678         2.044
1679         2.631
1680         1.002
1681        -1.619
1682        -0.172
1683         0.202
1684        -0.191
1685        -3.685
1686        -3.326
1687        -2.264
1688        -1.049
1689        -1.394
1690        -1.564
1691        -1.009
1692        -0.677
1693        -0.064
1694         2.621
1695         2.422
1696         0.452
1697        -1.864
1698        -3.338
1699        -3.128
1700        -1.705
1701        -0.374
1702         1.142
1703        -1.053
1704        -2.534
1705         1.909
1706         2.501
1707        -0.158
1708        -1.591
1709        -1.808
1710        -0.155
1711         0.462
1712         0.221
1713         0.234
1714        -0.385
